,loss,params,iteration,estimators
18,0.23585005244041057,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 36, 'learning_rate': 0.008572448761425775, 'subsample_for_bin': 20000, 'min_child_samples': 215, 'reg_alpha': 0.8775510204081632, 'reg_lambda': 0.9591836734693877, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.51010101010101}",14,444
19,0.23589158201611826,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 119, 'learning_rate': 0.030196332879124828, 'subsample_for_bin': 140000, 'min_child_samples': 250, 'reg_alpha': 0.18367346938775508, 'reg_lambda': 0.3877551020408163, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.8888888888888888}",998,113
20,0.23592386541614085,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 117, 'learning_rate': 0.02331834634070841, 'subsample_for_bin': 160000, 'min_child_samples': 250, 'reg_alpha': 0.7551020408163265, 'reg_lambda': 0.5918367346938775, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.5606060606060606}",385,108
21,0.23593385897841168,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 113, 'learning_rate': 0.01085773835184887, 'subsample_for_bin': 160000, 'min_child_samples': 185, 'reg_alpha': 1.0, 'reg_lambda': 0.3877551020408163, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.7878787878787878}",859,22
22,0.23607232734164407,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 71, 'learning_rate': 0.02165830550135906, 'subsample_for_bin': 120000, 'min_child_samples': 210, 'reg_alpha': 0.9183673469387754, 'reg_lambda': 0.12244897959183673, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.7929292929292929}",214,151
23,0.23607766165220534,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 123, 'learning_rate': 0.014589233132988022, 'subsample_for_bin': 220000, 'min_child_samples': 295, 'reg_alpha': 0.42857142857142855, 'reg_lambda': 0.6938775510204082, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.5656565656565656}",57,155
24,0.2360788065609889,"{'class_weight': None, 'boosting_type': 'goss', 'num_leaves': 146, 'learning_rate': 0.012726146225595376, 'subsample_for_bin': 40000, 'min_child_samples': 490, 'reg_alpha': 0.16326530612244897, 'reg_lambda': 0.1020408163265306, 'colsample_bytree': 0.6, 'subsample': 1.0}",637,79
25,0.2360916932326247,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 111, 'learning_rate': 0.020567105897255245, 'subsample_for_bin': 240000, 'min_child_samples': 240, 'reg_alpha': 0.7142857142857142, 'reg_lambda': 0.8775510204081632, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.7575757575757576}",411,129
26,0.23618743636981598,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 86, 'learning_rate': 0.011951836046130707, 'subsample_for_bin': 280000, 'min_child_samples': 145, 'reg_alpha': 0.6530612244897959, 'reg_lambda': 0.0, 'colsample_bytree': 0.6, 'subsample': 0.5808080808080808}",968,22
27,0.23618746888926245,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 127, 'learning_rate': 0.04042440469638247, 'subsample_for_bin': 140000, 'min_child_samples': 260, 'reg_alpha': 0.061224489795918366, 'reg_lambda': 0.5918367346938775, 'colsample_bytree': 0.9111111111111111, 'subsample': 0.8181818181818182}",291,62
